presion,presion_over_floor,temperature,altitude_over_sea_level_lib_bmp280,altitud_over_sea_level_lib_adafruit,altitud_over_sea_level_calculada,calculate_abs_alture,calculate_abs_alture_diff_lib_bmp280,calculate_abs_alture_diff_lib_adafruit,time
993.01743,991.25418,24.81174,176.21773,169.8284,170.51094,-15.0241,-20.2996,-14.93274,"07/25/2023, 13:59:22"
993.0108,991.25418,24.81083,176.27559,169.88447,170.56734,-14.9677,-20.24174,-14.87667,"07/25/2023, 13:59:22"
993.0079,991.25418,24.81113,176.30133,169.909,170.59202,-14.94302,-20.216,-14.85213,"07/25/2023, 13:59:23"
993.01062,991.25418,24.81174,176.27776,169.88603,170.56891,-14.96613,-20.23957,-14.87511,"07/25/2023, 13:59:23"
993.01062,991.25418,24.81174,176.27776,169.88603,170.56891,-14.96613,-20.23957,-14.87511,"07/25/2023, 13:59:24"
993.01011,991.25418,24.81144,176.28204,169.89031,170.57322,-14.96182,-20.23529,-14.87082,"07/25/2023, 13:59:24"
993.00873,991.25418,24.81265,176.29493,169.90199,170.58498,-14.95007,-20.2224,-14.85914,"07/25/2023, 13:59:25"
993.00804,991.25418,24.81326,176.30137,169.90784,170.59085,-14.94419,-20.21596,-14.8533,"07/25/2023, 13:59:25"
993.00836,991.25418,24.81447,176.29925,169.90511,170.58811,-14.94693,-20.21808,-14.85602,"07/25/2023, 13:59:26"
993.01108,991.25418,24.81508,176.27568,169.88214,170.565,-14.97004,-20.24165,-14.87899,"07/25/2023, 13:59:26"
993.01448,991.25418,24.81508,176.24567,169.85332,170.53602,-14.99903,-20.27166,-14.90781,"07/25/2023, 13:59:27"
993.01347,991.25418,24.81447,176.25423,169.86189,170.54463,-14.99041,-20.2631,-14.89924,"07/25/2023, 13:59:27"
993.01347,991.25418,24.81447,176.25423,169.86189,170.54463,-14.99041,-20.2631,-14.89924,"07/25/2023, 13:59:28"
993.01347,991.25418,24.81447,176.25423,169.86189,170.54463,-14.99041,-20.2631,-14.89924,"07/25/2023, 13:59:28"
993.01448,991.25418,24.81508,176.24567,169.85332,170.53602,-14.99903,-20.27166,-14.90781,"07/25/2023, 13:59:29"
993.01126,991.25418,24.81417,176.27352,169.88058,170.56343,-14.97161,-20.24381,-14.88055,"07/25/2023, 13:59:29"
993.01214,991.25418,24.81265,176.26491,169.87318,170.55599,-14.97905,-20.25242,-14.88795,"07/25/2023, 13:59:30"
993.00942,991.25418,24.81204,176.28848,169.89615,170.5791,-14.95594,-20.22885,-14.86498,"07/25/2023, 13:59:30"
993.0045,991.25418,24.81113,176.33134,169.93781,170.62101,-14.91403,-20.18599,-14.82332,"07/25/2023, 13:59:31"
